The light would come all the way up to your vehicle and then it would seem to vanish only to be on the other side of you heading the other way.	0.5418218515599006 0.5450815753129854 0.5155804954482988 0.5233254372004774 0.6085437107482179 0.5174727539304742 0.44642878536212793 0.5368369135595008 0.5457735704685512 0.49588031306941033 0.6339801002721754 0.3494421516051536 0.5058111813285365 0.5755362300775192 0.5558995114125819 0.4999404720621501 0.5590999883536493 0.365674701716739 0.5682509975965386 0.6367826577319154 0.46237683930110246 0.37063559424919046 0.35395022738145554 0.5086967000441832 0.44422156557539255 0.37944117789056725 0.42295079768010485 0.5275487880665122 0.5479256686983421 0.5832665002593113 0.41390521394096624 0.6259960011753419 0.40331917087655106 0.5898967232293918 0.3758456912017689 0.4317933903116048 0.43811307752444933 0.5134419939657262 0.6119084622198744 0.4639052346287368 0.5500680689333676 0.48639909843879137 0.4488207163036748 0.41205539793308416 0.47988629611027 0.49361221620639745 0.6072199265219713 0.48798932599833156 0.4821320011107168 0.4211355277818605 0.3465387363330593 0.4596482551219431 0.5128247785618933 0.5100818041499854 0.37665035869595986 0.48494191851137874 0.47174954081788284 0.6051671657946498 0.3839571766746565 0.5474510548654107 0.49451560275051903 0.5048377290003441 0.5488796271920529 0.40141472550886736 0.45365485203767436 0.45045130089200053 0.42181022153168024 0.44942122830738507 0.4676261282019757 0.40035837182407874 0.49532580916124536 0.47160829980082475 0.34840008766941216 0.42034029895398733 0.5207085802017172 0.4439470537560865 0.5274664603326459 0.49517704711402766 0.4633986605222879 0.5094346804680672 0.5578248191077931 0.3871107096210343 0.5286245870406954 0.46482795285262246 0.37387440721828014 0.5604935895960884 0.4751683120109797 0.31357436001037875 0.5884224386016451 0.5705650846538914 0.5624505213093871 0.4213353782748854 0.37467135471414287 0.5178818532100504 0.5986507034129653 0.500424543074697 0.48739223943710974 0.32463499944411855 0.47321861491637385 0.576005043312855
Well, my birthday is in January.	0.47978118577651524 0.29512078173281747 0.43478597662533014 0.5238403348740891 0.2590815810445756 0.5383545526557284 0.5231526801005869 0.3604266103001333 0.5403537475501908 0.3478027537011234 0.5289716253249485 0.42049990497910916 0.5482936520950638 0.7218094349407531 0.5598281846497147 0.46017893262065596 0.5229794845814317 0.4217477936887817 0.5201615894877502 0.5163305847352183 0.29412240136498186 0.42968946434245864 0.4098429665787471 0.534833491281515 0.553123612003331 0.7195068905656371 0.35954358293935423 0.6428194686089318 0.3472054857696553 0.4637193338573668 0.43699272162910496 0.4895483049302501 0.2227215332906358 0.7506144462257645 0.3875663902627984 0.5450239546215203 0.44065626838297406 0.6075017405015017 0.5053474653943998 0.549719288827722 0.4628985878307586 0.5573253196438591 0.31882585227806703 0.49262532716826546 0.46792601256028754 0.6639808064946672 0.5568544034063933 0.6660465389479463 0.4444858017774506 0.4928987980237112 0.6369721266834784 0.5134877107755581 0.4506084840462998 0.33732032607015533 0.5487136188891785 0.3980303565713936 0.6473627266981629 0.5638727517570972 0.6551088553083125 0.34476910072960304 0.2495913982462821 0.3692143048583623 0.6495447720456765 0.5593448828601224 0.5659942097813956 0.6547033321372765 0.44573697916337524 0.6916024018106128 0.4967611045983671 0.5955275827143515 0.5398500720447575 0.4972048703095042 0.5910384521846975 0.46139473744710396 0.3220433430395127 0.6029249055974497 0.5342054085279492 0.4457606199468393 0.40874196204677604 0.7160241367599354 0.3801444807078633 0.5000135607689761 0.3949714132649125 0.30033897199801046 0.5769571228505075 0.7045383534742607 0.4390690195701739 0.46147267524637164 0.6533534095159127 0.3594266784811618 0.3388428062777548 0.49616823489208284 0.5204896715593351 0.49897861772673235 0.6046147536178439 0.5699787978636458 0.4653532765988977 0.4164009605072518 0.3700673149623371 0.4638557130987837
Tears in my eyes, too much on my mind, and deep sadness in my heart.	0.518757289480258 0.4358613834326255 0.5628548749223676 0.4829551678507991 0.31389569431103925 0.576088630798182 0.5390226074811773 0.4912730063627189 0.4266229514105287 0.333986140356208 0.567499363018931 0.39670632066064054 0.4942929808144921 0.41447325846930977 0.349749832566551 0.573137437115442 0.5346001769033167 0.4738749035679316 0.46379657120966117 0.5396048571244215 0.4355720553754383 0.48606837017558896 0.437789793593444 0.4484221949283125 0.5369028823084244 0.6656057555215014 0.36182021489654687 0.5073329421024472 0.3535341623928097 0.29032652039867546 0.47456211106825186 0.387476535524993 0.2863705849236277 0.537169069835112 0.33084380630333493 0.48343716250921087 0.49465982884348947 0.6108873022168093 0.6218318350091856 0.4509661428521036 0.5174377921167777 0.48492578147109205 0.3997171277793229 0.598673510503255 0.5620736949284993 0.44615400082178625 0.40271582352721247 0.3673848351575752 0.38981154827525927 0.5262131020651238 0.6203377399222397 0.4097777745423264 0.47296609302794923 0.351427580109701 0.5460107011790732 0.49115895288470146 0.46932722037404134 0.45216570504608 0.4453961831848414 0.48236700713481573 0.4590855262128219 0.4267198426434477 0.5497155537764187 0.5127826144273883 0.4469447219795691 0.5598325257216125 0.5202112268427125 0.668150586816068 0.35668818406148173 0.5226123833629669 0.5785209492558963 0.4734593745761632 0.530236741736383 0.5398253531130811 0.329028199439043 0.5636242490604123 0.42979386378979406 0.4707524715662143 0.486968259596422 0.5493986146295479 0.4339867471608911 0.5434308552135522 0.32600114558324667 0.5006589999212504 0.5454468399996716 0.5497724004010348 0.5608595558970829 0.4723625310969266 0.7013841691286756 0.45595620506672546 0.3716777908265601 0.5054709971134496 0.5740333580412048 0.5309283028548047 0.45079283691601585 0.3650809445612096 0.3800279524683914 0.5731948255675842 0.3884188833509087 0.39324690570484777
My eyes scanned quickly into every room, every corner as I passed by $ and more than once my fist met the peeling paint of a closed door.	0.4565094560717203 0.5142652033469891 0.5494973376601865 0.5633426252554234 0.45407091462490184 0.6206617403661462 0.434419863162902 0.43939734042266504 0.508661735561759 0.5216712298564651 0.5281322750038587 0.36716682716796006 0.5144688606796436 0.5129041597623476 0.5814163709155891 0.5689390832412118 0.48816867280014714 0.4798222133523673 0.4577085900749279 0.5065636158902684 0.5352187564650338 0.44552175896799495 0.4500064903888546 0.5416052110524566 0.5404802116252948 0.45910865394158135 0.583283941883502 0.4387469235160343 0.5424216139258933 0.4785122454190419 0.43979484281724496 0.5449555943698075 0.3522676459611497 0.40100101200105637 0.44868043725176526 0.5912819990472539 0.441326675272845 0.5353611613862044 0.46006909358767156 0.47140473015293594 0.5237856585361041 0.571990301659738 0.4454653950082968 0.4986709428676977 0.5583315416969789 0.4745125161624625 0.422425244487136 0.5506469133766372 0.49877613628106104 0.5488626323124335 0.5488061744003869 0.397903523852703 0.5325725690340274 0.49212662923882383 0.4827539995713316 0.4694592242189461 0.4863312368046344 0.4028651435996271 0.5026432183312733 0.514890917998859 0.447621556819108 0.5719884810535674 0.527942874004173 0.5188958276533955 0.49439685684886253 0.5126252946855333 0.5511461057590183 0.5788945421562409 0.5234844580158893 0.5765523080135598 0.5676403822060254 0.49776909071228287 0.48965408139800204 0.4647382212620271 0.5235174951723395 0.5278045808192062 0.47019767286338215 0.4924008052782746 0.40430919292377177 0.4184644912776055 0.501389652383297 0.4918873149198721 0.4534417401263417 0.46233400643382255 0.5331553571400639 0.5107160667529098 0.5187846176264299 0.5611647225953399 0.6445609148326171 0.5783923111426 0.4648624375801411 0.41973844676604216 0.4828425323490258 0.49687088407599006 0.46164631779617976 0.43470994754440645 0.6652166130930618 0.40523999399066324 0.3957964918465976 0.526519924774223
I felt the afterglow of the late afternoon sun and the cool zephyr on my skin at the same time when I stood outside the main gates of the university just before I saw his car making that turn.	0.5757675869628545 0.5792974732825752 0.40301587005148426 0.5231750190124758 0.578948302474684 0.5692634629539873 0.5062967200389266 0.48314016503788637 0.533891469261524 0.5384419189893654 0.582279053222723 0.5005480913368442 0.46485868129579244 0.5586406294591743 0.5490091889429422 0.49213920344114714 0.563002692614444 0.4724241642558552 0.4347455831527718 0.516964163481133 0.5185126570239331 0.3438668351096757 0.39028399935629415 0.5504042006045932 0.49775163244888826 0.4399292731758281 0.5489841455850488 0.5479610620230398 0.5021841965354532 0.46940148272677423 0.46387381586309673 0.563414531842051 0.44197685192387026 0.5344187911074908 0.4217349250359258 0.500039841472189 0.3768872685950273 0.4889046962992084 0.6338526369448397 0.48690803592236737 0.6024864951305372 0.46129390040053725 0.4631240402776652 0.51331490179348 0.6114806127591541 0.518198218945453 0.37092323564121354 0.5171573120270879 0.37928145120856993 0.4015089007672804 0.4866181049432183 0.4909840080583561 0.4144803585898463 0.43624985202225575 0.46553752619525723 0.5161424176293545 0.5238018753102871 0.47718506610994876 0.4450601528308009 0.5310669782244488 0.41850415724326 0.4939603020190765 0.5391661462156058 0.4830025364996563 0.5139463939300666 0.3774288765858772 0.49925335106654956 0.5080563276813307 0.4971810694358246 0.4182547212524598 0.51224361258046 0.5666314564778071 0.4597236716532465 0.4268444614603162 0.4778834643154212 0.5362076368996698 0.3790056467390515 0.5233438277723437 0.4310699049135289 0.4406519157153491 0.48772641866233896 0.43977922820978493 0.48890189755263935 0.500276634755963 0.48178721336065944 0.47379562922023694 0.5004380684165624 0.41903999320209334 0.629348532810119 0.5651338793536496 0.44801862481745774 0.4197921063400345 0.40555506044815215 0.4647558257531061 0.45643179132949147 0.5330315802390035 0.5504539226222214 0.38395820708454087 0.4219071651052151 0.47482091850150565
Whatever was stuffing up my head yesterday moved into my chest.	0.49584957280106506 0.5546493501769691 0.42509873418788613 0.4775140506909555 0.5518239461777171 0.5629499649971692 0.2372262564951454 0.4521633480300861 0.5365088489598636 0.3655575623356727 0.4386686440214522 0.47000382682004155 0.7029320772756027 0.4342361177499413 0.47065302982511936 0.5481591371588269 0.5078050232310743 0.3925656596423014 0.4820553395448599 0.5938585599488696 0.5225322252443628 0.4393417671960126 0.3119074589791323 0.4320140982846153 0.41367397163825076 0.5979457701571218 0.4287812541872396 0.46024235327781393 0.5271591991377785 0.4803083149861693 0.6337359187860268 0.4520141967238703 0.3476878995763468 0.4223568212607234 0.4352989701362677 0.49033761787915203 0.3445968369798173 0.45448010629873675 0.4335547093667092 0.47382503324726655 0.5187072922515368 0.2546293532500993 0.4934572735673645 0.5314913915983536 0.5930894713710319 0.4215581354966794 0.5176302642373785 0.5439347562412215 0.41292334522275537 0.5125872575302775 0.5702187633706051 0.45768608666930033 0.5145704454260901 0.44344565893419785 0.6062165845638611 0.515285464512872 0.49332333860057476 0.37255450630270454 0.502517092442407 0.5828987539292624 0.4350910356538984 0.5245152837224505 0.6034099969848716 0.6059680122172828 0.5131254210914116 0.573693630263329 0.4947848814213059 0.5732190115691488 0.506807792895259 0.37681342072272345 0.5297377743604015 0.4534140693124037 0.38060206593886686 0.5438966379747359 0.32247123892811835 0.5171709180090183 0.3910075651916649 0.486781111412505 0.33691436591621887 0.4959959891901251 0.5587529608061836 0.5281741553172506 0.3432887130449847 0.41093760682162483 0.6527444752504583 0.6596165731639413 0.603162258368482 0.6849282235730623 0.6819681074395236 0.501945706737744 0.46300080645756664 0.48801524517360123 0.3470618948226677 0.428010021309321 0.6144684522048037 0.5031327496801233 0.4541144964827795 0.46707757193474353 0.49512550939380945 0.42517427169292804
At this point he decided to consult the woman at the front desk for more information.	0.6054410537267645 0.572870629325669 0.38988605401539533 0.5042866847623647 0.4847214964839244 0.49952968301766826 0.4478931011031083 0.5771568008618675 0.544875202135982 0.5242094296490041 0.5370932331637823 0.5698541950888312 0.44784571689420344 0.599189606546722 0.5086875232733623 0.4863678801801441 0.6008698383938283 0.580963758908782 0.4151696807976276 0.5256879096760797 0.5244581189403603 0.45262770216746423 0.42267773957491006 0.4783831238525322 0.42801090828828153 0.2682328085321148 0.583555103694744 0.5097119111607833 0.47945300954026016 0.5813589176959072 0.399947937157737 0.4809587084901635 0.46249412758120045 0.4967024546041364 0.51559263911974 0.4573409905681137 0.26628495417639286 0.5271557825620006 0.5110464448870595 0.5924317514140393 0.5842319801888785 0.42345363870551855 0.5099418614461204 0.4203584717556607 0.4809706893529539 0.5612418840027484 0.5900057765459767 0.6045991966504298 0.47091094492310165 0.4801558191634411 0.4857729382104721 0.4633631007293368 0.5011836550328814 0.5635695023043357 0.46960865079883907 0.49761971060137444 0.46253215693961575 0.5818170581194445 0.4588882978014058 0.5696245573569262 0.4197904731669462 0.5970611832990184 0.4590345676455195 0.5150922357400779 0.38568637218014823 0.47759280830292783 0.6498054638277773 0.42432301123553257 0.46576263422981184 0.3715594487693026 0.564533353271688 0.3687252848010584 0.38544951857873944 0.48648538361845095 0.46178932574006826 0.5107851358261475 0.5925254810910808 0.44595872854866647 0.40001979486849115 0.5325701408935536 0.4496877556247108 0.3920409513200697 0.5100255527493069 0.6253839698919631 0.3321173290428777 0.5753082086562209 0.3656622553255886 0.3802191163936851 0.4223145927295504 0.6164106027548538 0.6120911752448097 0.3080081271624648 0.36900156904265585 0.50296780080214 0.42485235677266897 0.5086233452754299 0.6682252901672824 0.29886146382097784 0.5606351035431637 0.5297008555404176
This is my fucking breaking point.	0.4193483309993183 0.594439818487028 0.46259285542654743 0.5640618827196412 0.3922750730652991 0.5943847756222974 0.27586589055284877 0.5086805464852675 0.33077734568458456 0.4621195279621843 0.6163831554872945 0.48724078620974254 0.5716926701616696 0.6057591735214206 0.3474783000674572 0.501644761398265 0.5214470319045305 0.34495828169896753 0.3739254989085657 0.40814208815621295 0.33848675829090596 0.5503552807245715 0.5309709576334901 0.5084932636521816 0.29167476826017874 0.3020965277054277 0.5591447598168098 0.6275438162016711 0.1830104214917169 0.5142642809641312 0.1776051721387487 0.44006992713053134 0.3554312157079578 0.6325377157959985 0.5462056493524999 0.5634997446409045 0.10783641157627315 0.26730110818928776 0.561689562889334 0.47685719047163433 0.507507845295008 0.27202492735871286 0.4633837176482168 0.33433483355625865 0.4381904640466892 0.5307361315210192 0.4909416197335776 0.6719020128944879 0.6431139214884428 0.5732786841296397 0.5446925389457359 0.4931230394012056 0.38068618855969255 0.40285423711224483 0.5472935484074767 0.4439879652838005 0.4228474436238709 0.5175950064551602 0.7170356544885464 0.5512214568953365 0.4218416167346586 0.37269478005403195 0.5783527102541783 0.5774336121209235 0.37091640172739043 0.5050159629007086 0.4610450310411222 0.6220125578451419 0.27559022813329365 0.6034477466254754 0.6178161879614893 0.4576163669070464 0.4584544357015461 0.5074297402939966 0.46750963458128586 0.4595654799685353 0.587172717833303 0.33176283260927303 0.47269395184499796 0.6140802669853637 0.34217655111058826 0.3101465029437713 0.3536177696864434 0.5115205701082904 0.4038753846915486 0.3465807062562847 0.35579488886841254 0.5228371391289667 0.5087736012823671 0.6380812797732848 0.552180594379285 0.34572196397602634 0.5987920906823305 0.4829785088152603 0.526789177126138 0.4319661885376904 0.5376063345823839 0.2819661244594372 0.3919555254845595 0.5796235001258025
Could be wrong though.	0.6827280339447819 0.5536552821482732 0.5397853076828123 0.44185786526020776 0.5373010398844524 0.3255854247272586 0.4169403009984878 0.6198621454976204 0.32486112473857137 0.48167266854599977 0.490846963983259 0.5952601078801323 0.7305112267400873 0.5191797036849967 0.6454891216705059 0.6903770922265429 0.6602905624415917 0.2721899410653074 0.5907162231167519 0.6519450305763332 0.49000391551488 0.41723520729950614 0.4419237681027323 0.6384506626631348 0.4856851574834856 0.5310755136711063 0.37023379866142353 0.42724299598093696 0.4003099974617497 0.6908900937760185 0.27542071431098347 0.5508560802584553 0.5508314236395704 0.3557153537832653 0.3499350706600823 0.6219575426174477 0.5267574181115955 0.6341875458840379 0.6039321730570341 0.3566274114558726 0.4310551944157814 0.6158385324758622 0.4765989571960265 0.4663257859229353 0.3345878296940695 0.5429562481798255 0.4203127689287003 0.5578509102097896 0.4838460499538027 0.6254328466251963 0.16749657756576425 0.538769564056783 0.6031053298307567 0.6088579843675589 0.5170441370676807 0.5068498113696328 0.5559788383399002 0.6836902234379941 0.469663134944267 0.3550166337127185 0.5794458261782705 0.41853605509162006 0.4928403446015197 0.4405051105823914 0.5500813561312345 0.5554507276797106 0.24499607349512892 0.3670097399418039 0.6315639263580353 0.2994573631260036 0.5963739054749593 0.6745821052403241 0.4332651072034964 0.47538604787687255 0.4435806253984328 0.6239269840291529 0.5146054804793905 0.6587461510958346 0.29078071190252985 0.5359425471427244 0.685146771357753 0.4404089187101456 0.47982804691457676 0.3409590600397209 0.31934025458456194 0.496022146087459 0.6768790205852753 0.530517600374928 0.6476328480566597 0.39634307747561154 0.36776748727480013 0.7231356463639076 0.5226237012422599 0.42480397259642827 0.7051155926625234 0.56284363759481 0.5642479872617888 0.3844450861682152 0.4519336452623259 0.4864782865448525
It could have been slaughter, but he turned his wheel.	0.5422868366729804 0.4361329645454223 0.4323641914200237 0.6374570353894773 0.411518105690509 0.529589096359449 0.5390397496980295 0.37897979728701464 0.4527202202899122 0.6654885440001503 0.6882714211650021 0.3749142350721161 0.5112700966540155 0.3990408123952615 0.40901675338889387 0.6210275259437785 0.4443382952382195 0.4036180708129845 0.6034771227283724 0.49909581684290244 0.43836573892176556 0.6726100025936735 0.48207180021610874 0.5307980253427932 0.4950042818699451 0.5877420401729352 0.7179770824169139 0.6432716091170655 0.6365036470848727 0.4850857517519893 0.27014012959165434 0.4353244374890834 0.49964271930867044 0.5273259398342216 0.41068835391856195 0.5023476637114543 0.365952981602362 0.6353762023065763 0.3311821377854732 0.4764501703114316 0.4781244989584585 0.7283739657902137 0.4559086696369496 0.42554460125770815 0.5472201331408255 0.5554449985266015 0.4959977653213078 0.46198061577508576 0.3824072719767075 0.35562245044371527 0.3572331371876475 0.48977106429734096 0.4727096151484898 0.49412795982075375 0.38639505518323564 0.5930155789835648 0.44705446141504107 0.5439564848579057 0.5460812206964109 0.5687019695286945 0.5490237406188865 0.44056040751561626 0.5526162267471774 0.5511533159694862 0.48400683325612776 0.5919140442653441 0.5839189178137469 0.4325323601709078 0.4759720762229779 0.5468226264700042 0.4411424140759543 0.4514727955598337 0.31799842603840467 0.4674715052264628 0.520883408435976 0.45420085630447116 0.5378051022920072 0.5822667336941155 0.27877489522483706 0.49371385253778854 0.5846365799330587 0.5665548723441519 0.361712213925803 0.42201208937631074 0.3140652149356612 0.5713868550678424 0.43857929718018357 0.3785339155664999 0.606597822318849 0.5261107395187888 0.6898232757199863 0.42008684927428375 0.4069341830335335 0.25458964713383103 0.6003784270307071 0.4773134128257078 0.5156639531403147 0.481131241648895 0.8017925574905626 0.5302656640578655
